X_axis          Y_axis          Z_axis          GR_bin          PR_Ref         
-120152.261680  62997.973628    4953.620693     27.348313       34.070000      
-120152.261680  62997.973628    5201.301727     26.068314       32.790001      
-120152.261680  62997.973628    5448.982762     23.958314       30.680000      
-122005.529079  58320.437667    3225.078798     26.530489       41.209999      
-122005.529079  58320.437667    3473.161783     27.710490       42.389999      
-122005.529079  58320.437667    3721.244767     25.880492       40.560001      
-122005.529079  58320.437667    3969.327752     26.370489       41.049999      
-122005.529079  58320.437667    4217.410736     24.990488       39.669998      
-122005.529079  58320.437667    4465.493720     24.780489       39.459999      
-122005.529079  58320.437667    4713.576705     23.820490       38.500000      
-122005.529079  58320.437667    4961.659689     22.890490       37.570000      
-122005.529079  58320.437667    5209.742674     21.600489       36.279999      
-122005.529079  58320.437667    5457.825658     20.300490       34.980000      
-123854.284983  53644.172111    3229.808917     3.235536        19.959999      
-123854.284983  53644.172111    3478.255757     6.275537        23.000000      
-123854.284983  53644.172111    3726.702596     5.585536        22.309999      
-123854.284983  53644.172111    3975.149436     4.105536        20.830000      
-123854.284983  53644.172111    4223.596276     4.115537        20.840000      
-123854.284983  53644.172111    4472.043116     3.315537        20.040001      
-123854.284983  53644.172111    4720.489955     3.355536        20.080000      
-123854.284983  53644.172111    4968.936795     2.485536        19.209999      
-123854.284983  53644.172111    5217.383635     0.245536        16.969999      
-123854.284983  53644.172111    5465.830475     3.395537        20.120001      
-125701.453082  48957.521321    3234.043080     15.845336       26.860001      
-125701.453082  48957.521321    3482.815625     16.755336       27.770000      
-125701.453082  48957.521321    3731.588169     15.275336       26.290001      
-125701.453082  48957.521321    3980.360714     18.875335       29.889999      
-125701.453082  48957.521321    4229.133259     18.405335       29.420000      
-125701.453082  48957.521321    4477.905803     20.405335       31.420000      
-125701.453082  48957.521321    4726.678348     16.015336       27.030001      
-125701.453082  48957.521321    4975.450892     9.585336        20.600000      
-125701.453082  48957.521321    5224.223437     5.505336        16.520000      
-125701.453082  48957.521321    5472.995982     5.495335        16.510000      
-127530.866176  44305.240983    3237.780638     -0.915062       17.670000      
-127530.866176  44305.240983    3486.840687     1.264939        19.850000      
-127530.866176  44305.240983    3735.900736     2.954939        21.540001      
-127530.866176  44305.240983    3984.960785     4.264939        22.850000      
-127530.866176  44305.240983    4234.020834     -18.585062      0.000000       
-127530.866176  44305.240983    4483.080883     -18.585062      0.000000       
-127530.866176  44305.240983    4732.140932     -18.585062      0.000000       
-127530.866176  44305.240983    4981.200981     -1.055061       17.530001      
-127530.866176  44305.240983    5230.261030     -18.585062      0.000000       
-127530.866176  44305.240983    5479.321079     -1.095062       17.490000      
-129355.785540  39652.316244    3241.021016     -0.638009       0.000000       
-129355.785540  39652.316244    3490.330324     -0.638009       0.000000       
-129355.785540  39652.316244    3739.639633     -0.638009       0.000000       
-129355.785540  39652.316244    3988.948942     -0.638009       0.000000       
-129355.785540  39652.316244    4238.258251     -0.638009       0.000000       
-129355.785540  39652.316244    4487.567560     -0.638009       0.000000       
-129355.785540  39652.316244    4736.876869     -0.638009       0.000000       
-129355.785540  39652.316244    4986.186178     -0.638009       0.000000       
-129355.785540  39652.316244    5235.495487     -0.638009       0.000000       
-129355.785540  39652.316244    5484.804795     -0.638009       0.000000       
-116382.373892  61402.130764    3219.853450     23.832343       26.690001      
-116382.373892  61402.130764    3467.534485     22.722342       25.580000      
-116382.373892  61402.130764    3715.215520     22.672343       25.530001      
-116382.373892  61402.130764    3962.896554     20.212342       23.070000      
-116382.373892  61402.130764    4210.577589     21.412343       24.270000      
-116382.373892  61402.130764    4458.258623     20.112341       22.969999      
-116382.373892  61402.130764    4705.939658     15.832343       18.690001      
-116382.373892  61402.130764    4953.620693     14.552342       17.410000      
-116382.373892  61402.130764    5201.301727     16.852341       19.709999      
-118235.853756  56722.916149    3225.078798     27.873575       38.480000      
-118235.853756  56722.916149    3473.161783     26.513574       37.119999      
-118235.853756  56722.916149    3721.244767     25.953577       36.560001      
-118235.853756  56722.916149    3969.327752     26.543577       37.150002      
-118235.853756  56722.916149    4217.410736     26.353575       36.959999      
-118235.853756  56722.916149    4465.493720     25.043577       35.650002      
-118235.853756  56722.916149    4713.576705     24.893576       35.500000      
-118235.853756  56722.916149    4961.659689     22.033575       32.639999      
-118235.853756  56722.916149    5209.742674     20.323576       30.930000      
-120084.825024  52045.179976    3229.808917     9.831418        26.780001      
-120084.825024  52045.179976    3478.255757     8.271416        25.219999      
-120084.825024  52045.179976    3726.702596     5.981417        22.930000      
-120084.825024  52045.179976    3975.149436     7.121417        24.070000      
-120084.825024  52045.179976    4223.596276     4.701416        21.650000      
-120084.825024  52045.179976    4472.043116     5.411417        22.360001      
-120084.825024  52045.179976    4720.489955     5.961417        22.910000      
-120084.825024  52045.179976    4968.936795     6.001418        22.950001      
-120084.825024  52045.179976    5217.383635     4.001418        20.950001      
-121933.711041  47357.247219    3234.043080     15.569067       25.379999      
-121933.711041  47357.247219    3482.815625     13.139069       22.950001      
-121933.711041  47357.247219    3731.588169     14.389069       24.200001      
-121933.711041  47357.247219    3980.360714     17.549069       27.360001      
-121933.711041  47357.247219    4229.133259     17.009068       26.820000      
-121933.711041  47357.247219    4477.905803     15.419068       25.230000      
-121933.711041  47357.247219    4726.678348     9.819067        19.629999      
-121933.711041  47357.247219    4975.450892     5.819068        15.630000      
-121933.711041  47357.247219    5224.223437     -9.810932       0.000000       
-123763.335159  42703.276214    3237.780638     1.319040        17.290001      
-123763.335159  42703.276214    3486.840687     5.959040        21.930000      
-123763.335159  42703.276214    3735.900736     5.209040        21.180000      
-123763.335159  42703.276214    3984.960785     8.409039        24.379999      
-123763.335159  42703.276214    4234.020834     5.889040        21.860001      
-123763.335159  42703.276214    4483.080883     3.419039        19.389999      
-123763.335159  42703.276214    4732.140932     -15.970961      0.000000       
-123763.335159  42703.276214    4981.200981     -15.970961      0.000000       
-123763.335159  42703.276214    5230.261030     2.369040        18.340000      
-125588.468632  38048.869413    3241.021016     -0.618736       16.760000      
-125588.468632  38048.869413    3490.330324     -17.378737      0.000000       
-125588.468632  38048.869413    3739.639633     -2.418737       14.960000      
-125588.468632  38048.869413    3988.948942     -17.378737      0.000000       
-125588.468632  38048.869413    4238.258251     -17.378737      0.000000       
-125588.468632  38048.869413    4487.567560     -17.378737      0.000000       
-125588.468632  38048.869413    4736.876869     -17.378737      0.000000       
-125588.468632  38048.869413    4986.186178     -17.378737      0.000000       
-125588.468632  38048.869413    5235.495487     -17.378737      0.000000       
-112610.313285  59821.569345    2972.172416     18.977175       22.040001      
-112610.313285  59821.569345    3219.853450     15.527174       18.590000      
-112610.313285  59821.569345    3467.534485     17.387174       20.450001      
